date,maturity,yield
2025-03-20,15.0,2.894
2025-03-20,20.0,2.832
2025-03-20,30.0,2.745
2025-03-21,0.25,2.853
2025-03-21,0.5,2.868
2025-03-21,0.75,2.843
2025-03-21,1.0,2.814
2025-03-21,1.5,2.825
2025-03-21,2.0,2.838
2025-03-21,2.5,2.849
2025-03-21,3.0,2.842
2025-03-21,4.0,2.857
2025-03-21,5.0,2.906
2025-03-21,7.0,2.965
2025-03-21,10.0,3.002
2025-03-21,15.0,2.908
2025-03-21,20.0,2.837
2025-03-21,30.0,2.745
2025-03-24,0.25,2.852
2025-03-24,0.5,2.877
2025-03-24,0.75,2.857
2025-03-24,1.0,2.833
2025-03-24,1.5,2.835
2025-03-24,2.0,2.842
2025-03-24,2.5,2.854
2025-03-24,3.0,2.848
2025-03-24,4.0,2.867
2025-03-24,5.0,2.93
2025-03-24,7.0,2.972
2025-03-24,10.0,3.013
2025-03-24,15.0,2.922
2025-03-24,20.0,2.859
2025-03-24,30.0,2.756
2025-03-25,0.25,2.845
2025-03-25,0.5,2.868
2025-03-25,0.75,2.849
2025-03-25,1.0,2.827
2025-03-25,1.5,2.837
2025-03-25,2.0,2.851
2025-03-25,2.5,2.862
2025-03-25,3.0,2.857
2025-03-25,4.0,2.885
2025-03-25,5.0,2.943
2025-03-25,7.0,2.981
2025-03-25,10.0,3.017
2025-03-25,15.0,2.924
2025-03-25,20.0,2.868
2025-03-25,30.0,2.769
2025-03-26,0.25,2.843
2025-03-26,0.5,2.863
2025-03-26,0.75,2.843
2025-03-26,1.0,2.825
2025-03-26,1.5,2.843
2025-03-26,2.0,2.865
2025-03-26,2.5,2.872
2025-03-26,3.0,2.872
2025-03-26,4.0,2.9
2025-03-26,5.0,2.965
2025-03-26,7.0,3.008
2025-03-26,10.0,3.057
2025-03-26,15.0,2.959
2025-03-26,20.0,2.903
2025-03-26,30.0,2.814
2025-03-27,0.25,2.842
2025-03-27,0.5,2.864
2025-03-27,0.75,2.841
2025-03-27,1.0,2.83
2025-03-27,1.5,2.845
2025-03-27,2.0,2.861
2025-03-27,2.5,2.872
2025-03-27,3.0,2.877
2025-03-27,4.0,2.893
2025-03-27,5.0,2.96
2025-03-27,7.0,3.003
2025-03-27,10.0,3.051
2025-03-27,15.0,2.947
2025-03-27,20.0,2.888
2025-03-27,30.0,2.799
2025-03-28,0.25,2.84
2025-03-28,0.5,2.861
2025-03-28,0.75,2.841
2025-03-28,1.0,2.828
2025-03-28,1.5,2.838
2025-03-28,2.0,2.855
2025-03-28,2.5,2.867
2025-03-28,3.0,2.868
2025-03-28,4.0,2.878
2025-03-28,5.0,2.948
2025-03-28,7.0,2.991
2025-03-28,10.0,3.044
2025-03-28,15.0,2.942
2025-03-28,20.0,2.886
2025-03-28,30.0,2.808
2025-03-31,0.25,2.822
2025-03-31,0.5,2.853
2025-03-31,0.75,2.823
2025-03-31,1.0,2.8
2025-03-31,1.5,2.789
2025-03-31,2.0,2.804
2025-03-31,2.5,2.814
2025-03-31,3.0,2.808
2025-03-31,4.0,2.81
2025-03-31,5.0,2.88
2025-03-31,7.0,2.922
2025-03-31,10.0,2.973
2025-03-31,15.0,2.884
2025-03-31,20.0,2.839
2025-03-31,30.0,2.766
2025-04-01,0.25,2.817
2025-04-01,0.5,2.85
2025-04-01,0.75,2.813
2025-04-01,1.0,2.798
2025-04-01,1.5,2.79
2025-04-01,2.0,2.818
2025-04-01,2.5,2.826
2025-04-01,3.0,2.833
2025-04-01,4.0,2.831
2025-04-01,5.0,2.906
2025-04-01,7.0,2.943
2025-04-01,10.0,2.993
2025-04-01,15.0,2.905
2025-04-01,20.0,2.865
2025-04-01,30.0,2.788
2025-04-02,0.25,2.808
2025-04-02,0.5,2.841
2025-04-02,0.75,2.804
2025-04-02,1.0,2.787
2025-04-02,1.5,2.791
2025-04-02,2.0,2.813
2025-04-02,2.5,2.819
2025-04-02,3.0,2.828
2025-04-02,4.0,2.819
2025-04-02,5.0,2.892
2025-04-02,7.0,2.925
2025-04-02,10.0,2.965
2025-04-02,15.0,2.883
2025-04-02,20.0,2.847
2025-04-02,30.0,2.768
2025-04-03,0.25,2.785
2025-04-03,0.5,2.813
2025-04-03,0.75,2.773
2025-04-03,1.0,2.749
2025-04-03,1.5,2.749
2025-04-03,2.0,2.762
2025-04-03,2.5,2.775
2025-04-03,3.0,2.789
2025-04-03,4.0,2.785
2025-04-03,5.0,2.859
2025-04-03,7.0,2.9
2025-04-03,10.0,2.945
2025-04-03,15.0,2.866
2025-04-03,20.0,2.831
2025-04-03,30.0,2.758
2025-04-04,0.25,2.773
2025-04-04,0.5,2.788
2025-04-04,0.75,2.741
2025-04-04,1.0,2.675
2025-04-04,1.5,2.673
2025-04-04,2.0,2.67
2025-04-04,2.5,2.697
2025-04-04,3.0,2.715
2025-04-04,4.0,2.721
2025-04-04,5.0,2.793
2025-04-04,7.0,2.84
2025-04-04,10.0,2.894
2025-04-04,15.0,2.834
2025-04-04,20.0,2.776
2025-04-04,30.0,2.703
2025-04-07,0.25,2.764
2025-04-07,0.5,2.773
2025-04-07,0.75,2.721
